strain_id,strain_name,size,control_size,log2_ratio,z
rec1857,tgl5,0.807972882691761,1.5984332493293436,-0.9842797193900494,-1.3542872767948784
rec1664,scp1,0.5579737739972916,1.1035987423569884,-0.9839464988335038,-1.3536375607971194
rec7001,yjl132w,0.6408668515456677,1.2662423845908815,-0.982457038063555,-1.350733398760112
rec1982,ela1,0.6183566285676652,1.2208070485748508,-0.9813241594680664,-1.3485245033827136
rec932,gos1,0.2455893113439226,0.48440981253793725,-0.9799803171427971,-1.3459042693063874
rec4814,ubr1,0.6051996801110312,1.1913125365726551,-0.9770688186237058,-1.3402274071556382
rec7242,ncs2,0.43893825016684124,0.8635658669981296,-0.976288225332039,-1.3387054003665106
rec1962,wss1,0.5024062745957366,0.987897640708327,-0.9755070849361079,-1.3371823268292908
rec3064,mrpl16,0.3467011575982706,0.679745075109718,-0.9713011401171049,-1.3289815433514445
rec4213,atp17,0.28627646446315147,0.5609993235383071,-0.9705899637309395,-1.327594886177259
rec1820,irc23,1.0708718935819705,2.091308209898041,-0.9656197936105692,-1.317904010343353
rec4060,swf1,0.17938320107463812,0.3497509985354277,-0.9632833855780878,-1.3133484640357287
rec5791,img2,0.45412614335130275,0.8818510989851499,-0.9574419836295052,-1.301958853698722
rec1855,atx2,0.8659370920115156,1.6811752164335403,-0.9571359678450042,-1.301362181774222
rec1754,apm4,0.6744399775673966,1.309031142916199,-0.9567374606101717,-1.3005851693102328
rec1801,hst3,0.5503181279054037,1.06619804018811,-0.9541376772852441,-1.2955160918366724
rec2294,vhs2,0.5643595779704301,1.0926557268783097,-0.9531523450767619,-1.2935948835366962
rec1901,osh3,0.4941732504717521,0.9557773926520623,-0.9516577234995742,-1.2906806589181385
rec6936,yjr142w,0.6954247518794848,1.3437491459652964,-0.9502975156201905,-1.2880285151588369
rec4184,mrp1,0.41707095924583265,0.8044196025831595,-0.947655378025116,-1.2828768550043843
rec2533,yor277c,0.5926061661886831,1.140527995481708,-0.9445563165525992,-1.2768342811679854
